ref_area,indicator,source,sex,classif1,time,obs_value,obs_status,note_indicator,note_source
ARG,SDG_0831_SEX_ECO_RT,BA:150,SEX_M,ECO_AGNAG_NAG,2019,49.7,,,R1:3513_S4:33
ARG,SDG_0831_SEX_ECO_RT,BA:150,SEX_F,ECO_AGNAG_TOTAL,2019,49.6,,,R1:3513_S4:33
ARG,SDG_0831_SEX_ECO_RT,BA:150,SEX_F,ECO_AGNAG_AGR,2019,65.3,U,,R1:3513_S4:33
ARG,SDG_0831_SEX_ECO_RT,BA:150,SEX_F,ECO_AGNAG_NAG,2019,49.6,,,R1:3513_S4:33
ARG,SDG_0831_SEX_ECO_RT,BA:150,SEX_T,ECO_AGNAG_TOTAL,2018,48.5,,,R1:3513_S4:33
ARG,SDG_0831_SEX_ECO_RT,BA:150,SEX_T,ECO_AGNAG_AGR,2018,17.4,,,R1:3513_S4:33
ARG,SDG_0831_SEX_ECO_RT,BA:150,SEX_T,ECO_AGNAG_NAG,2018,48.5,,,R1:3513_S4:33
ARG,SDG_0831_SEX_ECO_RT,BA:150,SEX_M,ECO_AGNAG_TOTAL,2018,48.1,,,R1:3513_S4:33
ARG,SDG_0831_SEX_ECO_RT,BA:150,SEX_M,ECO_AGNAG_AGR,2018,21.3,,,R1:3513_S4:33
ARG,SDG_0831_SEX_ECO_RT,BA:150,SEX_M,ECO_AGNAG_NAG,2018,48.2,,,R1:3513_S4:33
ARG,SDG_0831_SEX_ECO_RT,BA:150,SEX_F,ECO_AGNAG_TOTAL,2018,48.9,,,R1:3513_S4:33
ARG,SDG_0831_SEX_ECO_RT,BA:150,SEX_F,ECO_AGNAG_AGR,2018,,U,,R1:3513_S4:33
ARG,SDG_0831_SEX_ECO_RT,BA:150,SEX_F,ECO_AGNAG_NAG,2018,49,,,R1:3513_S4:33
ARG,SDG_0831_SEX_ECO_RT,BA:150,SEX_T,ECO_AGNAG_TOTAL,2017,48.3,,,R1:3513_S4:33
ARG,SDG_0831_SEX_ECO_RT,BA:150,SEX_T,ECO_AGNAG_AGR,2017,18.9,,,R1:3513_S4:33
ARG,SDG_0831_SEX_ECO_RT,BA:150,SEX_T,ECO_AGNAG_NAG,2017,48.3,,,R1:3513_S4:33
ARG,SDG_0831_SEX_ECO_RT,BA:150,SEX_M,ECO_AGNAG_TOTAL,2017,48.8,,,R1:3513_S4:33
ARG,SDG_0831_SEX_ECO_RT,BA:150,SEX_M,ECO_AGNAG_AGR,2017,13.4,U,,R1:3513_S4:33
ARG,SDG_0831_SEX_ECO_RT,BA:150,SEX_M,ECO_AGNAG_NAG,2017,48.8,,,R1:3513_S4:33
ARG,SDG_0831_SEX_ECO_RT,BA:150,SEX_F,ECO_AGNAG_TOTAL,2017,47.7,,,R1:3513_S4:33
ARG,SDG_0831_SEX_ECO_RT,BA:150,SEX_F,ECO_AGNAG_AGR,2017,,U,,R1:3513_S4:33
ARG,SDG_0831_SEX_ECO_RT,BA:150,SEX_F,ECO_AGNAG_NAG,2017,47.7,,,R1:3513_S4:33
ARG,SDG_0831_SEX_ECO_RT,BA:150,SEX_T,ECO_AGNAG_TOTAL,2014,47.2,,I13:3888,R1:3513_S4:33
ARG,SDG_0831_SEX_ECO_RT,BA:150,SEX_T,ECO_AGNAG_AGR,2014,57.4,,I13:3888,R1:3513_S4:33
ARG,SDG_0831_SEX_ECO_RT,BA:150,SEX_T,ECO_AGNAG_NAG,2014,47.1,,I13:3888,R1:3513_S4:33
ARG,SDG_0831_SEX_ECO_RT,BA:150,SEX_M,ECO_AGNAG_TOTAL,2014,47.5,,I13:3888,R1:3513_S4:33
ARG,SDG_0831_SEX_ECO_RT,BA:150,SEX_M,ECO_AGNAG_AGR,2014,58.6,,I13:3888,R1:3513_S4:33
ARG,SDG_0831_SEX_ECO_RT,BA:150,SEX_M,ECO_AGNAG_NAG,2014,47.4,,I13:3888,R1:3513_S4:33
ARG,SDG_0831_SEX_ECO_RT,BA:150,SEX_F,ECO_AGNAG_TOTAL,2014,46.8,,I13:3888,R1:3513_S4:33
ARG,SDG_0831_SEX_ECO_RT,BA:150,SEX_F,ECO_AGNAG_AGR,2014,49.1,,I13:3888,R1:3513_S4:33
ARG,SDG_0831_SEX_ECO_RT,BA:150,SEX_F,ECO_AGNAG_NAG,2014,46.8,,I13:3888,R1:3513_S4:33
ARG,SDG_0831_SEX_ECO_RT,BA:150,SEX_T,ECO_AGNAG_TOTAL,2013,47.8,,I13:3888,R1:3513_S4:33
ARG,SDG_0831_SEX_ECO_RT,BA:150,SEX_T,ECO_AGNAG_AGR,2013,64.8,,I13:3888,R1:3513_S4:33
ARG,SDG_0831_SEX_ECO_RT,BA:150,SEX_T,ECO_AGNAG_NAG,2013,47.7,,I13:3888,R1:3513_S4:33
ARG,SDG_0831_SEX_ECO_RT,BA:150,SEX_M,ECO_AGNAG_TOTAL,2013,48.3,,I13:3888,R1:3513_S4:33
ARG,SDG_0831_SEX_ECO_RT,BA:150,SEX_M,ECO_AGNAG_AGR,2013,65.4,,I13:3888,R1:3513_S4:33
ARG,SDG_0831_SEX_ECO_RT,BA:150,SEX_M,ECO_AGNAG_NAG,2013,48.1,,I13:3888,R1:3513_S4:33
ARG,SDG_0831_SEX_ECO_RT,BA:150,SEX_F,ECO_AGNAG_TOTAL,2013,47,,I13:3888,R1:3513_S4:33
ARG,SDG_0831_SEX_ECO_RT,BA:150,SEX_F,ECO_AGNAG_AGR,2013,61.6,,I13:3888,R1:3513_S4:33
ARG,SDG_0831_SEX_ECO_RT,BA:150,SEX_F,ECO_AGNAG_NAG,2013,47,,I13:3888,R1:3513_S4:33
ARG,SDG_0831_SEX_ECO_RT,BA:150,SEX_T,ECO_AGNAG_TOTAL,2012,48.2,,I13:3888,R1:3513_S4:33
ARG,SDG_0831_SEX_ECO_RT,BA:150,SEX_T,ECO_AGNAG_AGR,2012,59.2,,I13:3888,R1:3513_S4:33
ARG,SDG_0831_SEX_ECO_RT,BA:150,SEX_T,ECO_AGNAG_NAG,2012,48.1,,I13:3888,R1:3513_S4:33
ARG,SDG_0831_SEX_ECO_RT,BA:150,SEX_M,ECO_AGNAG_TOTAL,2012,48,,I13:3888,R1:3513_S4:33
ARG,SDG_0831_SEX_ECO_RT,BA:150,SEX_M,ECO_AGNAG_AGR,2012,58.2,,I13:3888,R1:3513_S4:33
ARG,SDG_0831_SEX_ECO_RT,BA:150,SEX_M,ECO_AGNAG_NAG,2012,47.9,,I13:3888,R1:3513_S4:33
ARG,SDG_0831_SEX_ECO_RT,BA:150,SEX_F,ECO_AGNAG_TOTAL,2012,48.4,,I13:3888,R1:3513_S4:33
ARG,SDG_0831_SEX_ECO_RT,BA:150,SEX_F,ECO_AGNAG_AGR,2012,63.5,,I13:3888,R1:3513_S4:33
ARG,SDG_0831_SEX_ECO_RT,BA:150,SEX_F,ECO_AGNAG_NAG,2012,48.4,,I13:3888,R1:3513_S4:33
ARG,SDG_0831_SEX_ECO_RT,BA:150,SEX_T,ECO_AGNAG_TOTAL,2011,48.1,,I13:3888,R1:3513_S4:33
ARG,SDG_0831_SEX_ECO_RT,BA:150,SEX_T,ECO_AGNAG_AGR,2011,62.3,,I13:3888,R1:3513_S4:33
ARG,SDG_0831_SEX_ECO_RT,BA:150,SEX_T,ECO_AGNAG_NAG,2011,48,,I13:3888,R1:3513_S4:33
ARG,SDG_0831_SEX_ECO_RT,BA:150,SEX_M,ECO_AGNAG_TOTAL,2011,47.5,,I13:3888,R1:3513_S4:33
ARG,SDG_0831_SEX_ECO_RT,BA:150,SEX_M,ECO_AGNAG_AGR,2011,60.6,,I13:3888,R1:3513_S4:33
ARG,SDG_0831_SEX_ECO_RT,BA:150,SEX_M,ECO_AGNAG_NAG,2011,47.4,,I13:3888,R1:3513_S4:33
